,user id,question id,statement index,orden,manipulada,deteccion,distancia,variacion agreement,agreement inicial,variacion confianza,confianza inicial,timer
100712,5762,16,100703.0,2.0,0.0,0.0,9.0,0.0,100.0,0.0,100.0,13277.0
100713,5762,22,100709.0,3.0,0.0,0.0,4.0,0.0,100.0,0.0,100.0,14846.0
100714,5762,17,100708.0,4.0,1.0,1.0,6.0,0.0,0.0,0.0,100.0,24119.0
100750,5764,22,100746.0,1.0,0.0,0.0,4.0,0.0,84.0,0.0,100.0,
100751,5764,15,100748.0,2.0,1.0,0.0,3.0,100.0,0.0,0.0,100.0,
100752,5764,23,100744.0,3.0,0.0,0.0,8.0,0.0,80.0,0.0,100.0,
100753,5764,40,100745.0,4.0,1.0,0.0,8.0,100.0,0.0,0.0,100.0,
100789,5765,22,100783.0,1.0,0.0,0.0,6.0,0.0,100.0,0.0,100.0,21298.0
100790,5765,16,100787.0,2.0,0.0,0.0,3.0,0.0,100.0,0.0,100.0,17570.0
100791,5765,23,100781.0,3.0,0.0,0.0,10.0,0.0,80.0,21.0,79.0,33246.0
100792,5765,18,100784.0,4.0,1.0,0.0,8.0,100.0,0.0,0.0,100.0,5259.0
100828,5767,20,100824.0,1.0,0.0,0.0,4.0,0.0,100.0,0.0,100.0,46643.0
100829,5767,19,100820.0,2.0,0.0,0.0,9.0,0.0,92.0,7.0,93.0,14376.0
100830,5767,41,100826.0,3.0,0.0,0.0,4.0,0.0,100.0,0.0,100.0,8628.0
100831,5767,18,100822.0,4.0,0.0,0.0,9.0,0.0,83.0,16.0,84.0,23408.0
100867,5768,17,100863.0,1.0,0.0,0.0,4.0,0.0,0.0,8.0,58.0,27596.0
100868,5768,40,100865.0,2.0,0.0,0.0,3.0,0.0,72.0,10.0,57.0,15379.0
100869,5768,19,100861.0,3.0,0.0,0.0,8.0,0.0,100.0,18.0,53.0,27538.0
100870,5768,20,100860.0,4.0,0.0,0.0,10.0,0.0,100.0,-4.0,68.0,12372.0
100906,5771,18,100902.0,1.0,0.0,0.0,4.0,-30.0,70.0,-5.0,100.0,96477.0
100907,5771,20,100904.0,2.0,1.0,1.0,3.0,-10.0,95.0,0.0,100.0,34663.0
100908,5771,39,100900.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,100.0,21759.0
100909,5771,40,100898.0,4.0,1.0,1.0,11.0,0.0,15.0,0.0,100.0,25184.0
100945,5772,39,100938.0,1.0,0.0,0.0,7.0,0.0,14.0,-5.0,78.0,63962.0
100946,5772,20,100942.0,2.0,0.0,0.0,4.0,0.0,94.0,17.0,76.0,13220.0
100947,5772,15,100939.0,3.0,0.0,0.0,8.0,0.0,13.0,3.0,76.0,12587.0
100948,5772,40,100944.0,4.0,0.0,0.0,4.0,0.0,10.0,-3.0,86.0,8531.0
100984,5773,18,100982.0,1.0,0.0,0.0,2.0,0.0,51.0,0.0,52.0,
100985,5773,40,100980.0,2.0,1.0,0.0,5.0,-2.0,51.0,1.0,48.0,
100986,5773,19,100983.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,100.0,
100987,5773,23,100979.0,4.0,0.0,0.0,8.0,0.0,100.0,0.0,100.0,
